iter	Passed	Remaining
956	6085	273
957	6091	267
958	6097	260
959	6103	254
960	6109	247
961	6116	241
962	6121	235
963	6127	228
964	6133	222
965	6139	216
966	6145	209
967	6151	203
968	6157	196
969	6163	190
970	6169	184
971	6176	177
972	6183	171
973	6189	165
974	6195	158
975	6202	152
976	6208	146
977	6216	139
978	6221	133
979	6228	127
980	6234	120
981	6240	114
982	6246	108
983	6253	101
984	6259	95
985	6265	88
986	6272	82
987	6278	76
988	6285	69
989	6291	63
990	6297	57
991	6303	50
992	6309	44
993	6316	38
994	6322	31
995	6328	25
996	6334	19
997	6340	12
998	6346	6
999	6353	0
